,date,reviews,polarity_score,subjectivity_score
0,08-03-2022,,0.0,0.0
1,01-03-2022,,0.0,0.0
2,22-02-2022,,0.0,0.0
3,22-02-2022,,0.0,0.0
4,15-02-2022,,0.0,0.0
5,7-02-2022 ,"I’d seen the reviews online and had a friend recommendation to try here and I’m glad I did! The garlic prawns with tomato bread were the best! I also had some ham/cheese tapas, a beer and finished with some churos. It was 25 euros so well worth it. Would definitely go back! The inside is more bright and modern than I was expecting but it had a nice atmosphere and great food.",0.525,0.5277777777777778
6,29-01-2022 ,"That’s an excellent place. High quality small dishes, with a very wide offer. It is always full, you need to queue. Go with plenty of time. The atmosphere is great, service is fast and prices are reasonable. You can have a taste of the local cuisine with several small dishes. You will not go there only once.",0.17333333333333334,0.5299999999999999
7,25-01-2022 ,"We found this restaurant by chance and we loved it! Very good place with quality food and very good treatment by the waiters. For dessert I ordered the crema catalana and it is the best I've ever tasted, it was only 2.95 euros, amazing!",0.7408333333333333,0.7600000000000001
8,20-01-2022 ,The Cerveceria Catalana was simply 5 Stars in any category. The Tapas were outstanding. The service was outstanding. And the prices were excellent. We were in Barcelona 2 nights and ate there both nights. We really enjoyed our experience.,0.5,0.7614285714285713
9,29-12-2021 ,"Great ' classic' tapas, almost all dished we ordered were amazing. Food comes very quickly, best to not order too much at the same time. Staff is friendly, however can appear a bit rushed as this place seems to have a waiting line outside most of the time. But really a must-try!",0.3891666666666667,0.3691666666666667
10,27-12-2021 ,The food in Cerveceria Catalana is delicious and the prices are great. Me and my friend ordered a lot of things and we pay a very reasonable price. The service is also very good. I recommend it 100%.,0.7424999999999999,0.8275000000000001
11,20-12-2021 ,"Enjoyed all the tapas in this restaurant, everything was good, especially the garlic prawns. We went back again to this restaurant a few days later and also one of it's sister restaurant Vinitus. :)",0.21428571428571427,0.4857142857142857
12,11-12-2021 ,"I first ‘discovered’ this place during my first visit in 2013. I ate there x 3. 2021, my hotel is a 1 min walk. Still the best!",0.5,0.3222222222222222
13,11-12-2021 ,"I was recommended this place for Tapas during TripAdvisor search. They don't do reservations but there is a waiting list outside. First time was unlucky for me as I went late and there was wait for about an hour, I had to reach somewhere so I quit. The mesmerizing view of tapas served at outside tables as I left made me even more curious to try this place, so I visited again. Next time I went earlier, there was still a wait but I was able to be seated by Mawel at reception who apologized to me for not getting table last time. I was seated by her at a table at end of the dining hall. A friendly and very attending server took my order and gave me wonderful suggestions. A lovely American couple sitting on next table also joined the Tapas discussion and added some advise. So with double help, I ordered Shrimps al ajillo with tomato bread on suggestion of server to dip the bread in shrimp sauce. I also ordered Tapa de Mercado on suggestion of the American friends which was an Entrecote steak. For drinks I ordered a glass of beer with Shrimps and Tinto de Verano (Summer Red) drink with the steak. My order was delivered in time despite the packed restaurant. Its hard to keep quality high at such a busy place which doesn't take reservations but I have to say they nailed every dish. My shrimps were perfectly cooked and the sauce was heavenly. Trying it with bread as suggested by the server was perfect idea which took me to taste heaven. Entrecote steak was perfectly medium as I like and flawlessly seasoned. Tinto de Verano doubled the taste of steak. I asked the couple about their experience and they were equally impressed. I chatted a bit with the staff and my newly made friends, then I asked for the check. It all cost me 28.10 euros only for all the taste and fun. This is called real class, you get a customer base yet keep prices very reasonable. I thanked the server and Mawel while leaving with so much satisfaction.If you want to start your Tapa experience while in Barcelona or just want to taste the real deal, just go to Cerveceria Catalana. Its worth the wait for quality and service. Very highly recommended.",0.21119242424242426,0.45358030303030306
14,30-11-2021 ,I know this restaurant since 2004 when I attended many times until 2006 business in Barcelona and the quality was and still is really high. I went at the end of November with a colleague and they expanded the restaurant but the quality is still the same: Excellent!,0.41500000000000004,0.54125
15,29-11-2021 ,An absolute high quality restaurant with the best tapas you will ever eat. All is fresh made. Desserts are super. I w s here it’s my wife and kids and all enjoyed.,0.4155555555555555,0.601111111111111
16,23-11-2021 ,"Amazing place, quiet and quick to serve! Amazing tapas and taste! Super friendly staff, ready to help with any queries.",0.3821428571428572,0.6142857142857142
17,19-11-2021 ,"We liked our lunch we were just not sure what we were getting. Everyone was very nice, service & food were good. We may try it again if I can get hubby to go.",0.45749999999999996,0.8222222222222223
18,17-11-2021 ,I went there as a recommendation from several sites and other opinions. Great place for tourists with a huge variety in the menu and high quality of food & drinks. It’s a most in Barcelona!,0.31,0.5108333333333334
19,13-11-2021 ,A really long wait... people was clearly not happy working there. They were very disorganized and look lost and desperate while taking care the long waiting line.The food is good but you can find other places better than this one in barcelona. I hope they can improve their service because the place is very nice.,0.1061111111111111,0.6194444444444445
20,27-10-2021 ,"We visited the restaurant twice during out five day vacation in Barcelona. The is absolutely the best tapas restaurant in Barcelona. The food is fantastic, the drinks and wine very good, and the overall experience is definitely value-for-money. The staff is very friendly and service minded. Its not possible to book a table, so I recommend come early or be prepared to wait for a while to be seated. Great Experience!",0.40975,0.608
21,15-10-2021 ,"Two hours waiting, once in, half of the menu unavailable. 4 bottles of wine drank outside and that was not something for the waiters. After all the waiting the waiter started to tell us off. What? Definitely not recommended. The system of listing people outside is a mess. They don’t do reservations and everyone is packed in the front of the restaurant. And the employees tell you off. Poor service.",-0.12361111111111112,0.2569444444444444
22,10-10-2021 ,"The tapas were amazing, our waiter was very helpful in suggesting the top recommendations and how many to order. We absolutely loved it",0.5,0.6
23,8-10-2021 ,The variety of dishes were dizzying! All were amazing . The servers are quick but don’t expect much English from them. Every single dish was tasteful and fun. Loved it,0.3103174603174603,0.43571428571428567
